Latitude,Longitude,Value
41.647916,-87.612653,3
41.667916,-87.632653,26
41.667916,-87.552653,4
41.847916,-87.652653,17
41.847916,-87.632653,32
41.847916,-87.612653,15
41.847916,-87.732653,5
41.847916,-87.712653,20
41.847916,-87.692653,11
41.847916,-87.672653,9
41.867916,-87.652653,38
41.867916,-87.632653,147
41.867916,-87.612653,20
41.867916,-87.752653,4
41.867916,-87.732653,6
41.867916,-87.712653,6
41.867916,-87.692653,15
41.867916,-87.672653,7
41.887916,-87.652653,177
41.887916,-87.632653,549
41.887916,-87.612653,124
41.887916,-87.772653,3
41.887916,-87.752653,3
41.887916,-87.732653,8
41.887916,-87.712653,6
41.887916,-87.692653,66
41.887916,-87.672653,94
41.907916,-87.652653,81
41.907916,-87.632653,292
41.907916,-87.612653,54
41.907916,-87.772653,6
41.907916,-87.752653,14
41.907916,-87.732653,12
41.907916,-87.712653,5
41.907916,-87.692653,73
41.907916,-87.672653,167
41.927916,-87.652653,238
41.927916,-87.632653,66
41.927916,-87.792653,22
41.927916,-87.772653,14
41.927916,-87.752653,24
41.927916,-87.732653,28
41.927916,-87.712653,23
41.927916,-87.692653,75
41.927916,-87.672653,66
41.947916,-87.832653,6
41.947916,-87.652653,179
41.947916,-87.632653,20
41.947916,-87.812653,14
41.947916,-87.792653,16
41.947916,-87.772653,20
41.947916,-87.752653,12
41.947916,-87.732653,32
41.947916,-87.712653,39
41.947916,-87.692653,40
41.947916,-87.672653,89
41.967916,-87.832653,5
41.967916,-87.652653,60
41.967916,-87.792653,13
41.967916,-87.772653,15
41.967916,-87.752653,19
41.967916,-87.732653,25
41.967916,-87.712653,13
41.967916,-87.692653,42
41.967916,-87.672653,61
41.987916,-87.852653,5
41.987916,-87.832653,4
41.987916,-87.652653,43
41.987916,-87.812653,6
41.987916,-87.792653,16
41.987916,-87.772653,18
41.987916,-87.752653,3
41.987916,-87.732653,14
41.987916,-87.712653,19
41.987916,-87.692653,32
41.987916,-87.672653,38
42.007916,-87.652653,6
42.007916,-87.812653,9
42.007916,-87.792653,4
42.007916,-87.712653,12
42.007916,-87.692653,49
42.007916,-87.672653,26
42.027916,-87.672653,6
41.687916,-87.632653,10
41.687916,-87.612653,4
41.687916,-87.712653,6
41.687916,-87.672653,11
41.707916,-87.652653,3
41.707916,-87.632653,7
41.707916,-87.532653,6
41.707916,-87.672653,8
41.727916,-87.652653,17
41.727916,-87.632653,4
41.727916,-87.612653,5
41.727916,-87.592653,16
41.727916,-87.572653,12
41.727916,-87.552653,4
41.727916,-87.532653,4
41.727916,-87.672653,10
41.747916,-87.652653,9
41.747916,-87.632653,12
41.747916,-87.612653,6
41.747916,-87.592653,8
41.747916,-87.572653,6
41.747916,-87.552653,4
41.747916,-87.732653,5
41.747916,-87.712653,3
41.747916,-87.672653,4
41.767916,-87.652653,7
41.767916,-87.632653,9
41.767916,-87.612653,6
41.767916,-87.592653,11
41.767916,-87.572653,18
41.767916,-87.552653,5
41.767916,-87.792653,4
41.767916,-87.772653,10
41.767916,-87.732653,4
41.767916,-87.712653,11
41.767916,-87.692653,5
41.767916,-87.672653,3
41.787916,-87.632653,5
41.787916,-87.612653,12
41.787916,-87.592653,44
41.787916,-87.792653,7
41.787916,-87.772653,13
41.787916,-87.732653,6
41.787916,-87.712653,15
41.787916,-87.692653,4
41.787916,-87.672653,10
41.807916,-87.652653,21
41.807916,-87.632653,37
41.807916,-87.612653,9
41.807916,-87.592653,18
41.807916,-87.752653,3
41.807916,-87.732653,8
41.807916,-87.712653,6
41.807916,-87.672653,31
41.827916,-87.652653,72
41.827916,-87.632653,11
41.827916,-87.612653,14
41.827916,-87.712653,16
41.827916,-87.692653,12
41.827916,-87.672653,16